1:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
3:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
4:中国采招网        4001-6000
357:软件工程师        北京华开领航科技有限责任公司        10000-15000
358:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
359:软件开发工程师        北京北变微电网技术有限公司        7000-9000
360:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
361:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
362:软件测试工程师        北京万里红科技股份有限公司        6000-12000
363:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
364:软件工程师        北京慧清科技有限公司        12000-20000
365:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
366:软件工程师        北京优尔博特创新科技有限公司        15001-20000
367:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
368:软件开发工程师        北京天元特通科技有限公司        10001-15000
369:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
370:软件销售        厦门安妮股份有限公司        8001-10000
371:软件工程师        北京慧清科技有限公司        12000-20000
372:软件工程师        北京华仪未来科技发展有限公司        10001-15000
373:软件开发项目经理        北京店帮科技有限公司        10001-15000
374:软件工程师        北京起鹏科技发展有限公司        10001-15000
375:软件工程师        北京兆维科技开发有限公司        10000-20000
376:软件测试工程师        北京万里红科技股份有限公司        5000-10000
377:软件工程师        北京泰和利通科技有限公司        10000-20000
378:软件工程师        北京医模科技股份有限公司        10001-15000
379:软件项目经理        北京双旗世纪科技有限公司        15001-20000
380:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
381:软件开发工程师        北京固鸿科技有限公司        10000-20000
382:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
383:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
384:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
385:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
386:软件开发工程师        北京万里红科技股份有限公司        6000-12000
387:软件区域销售        北京华思维信息技术有限公司        5000-10000
388:软件工程师        北京安怀信科技股份有限公司        10001-15000
389:软件工程师        沈阳东软医疗系统有限公司        15001-20000
390:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
391:软件工程师        北京华仪未来科技发展有限公司        10001-15000
392:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
393:软件工程师        北京辉大科技发展有限公司        8000-16000
394:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
395:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
396:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
397:软件销售经理        北京可维创业科技有限公司        6000-12000
398:软件测试工程师        北京华夏电通科技有限公司        8000-15000
399:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
400:软件客户代表        北京世纪兆元科技有限公司        10001-15000
401:软件销售        挚友诚达科技(北京)有限公司        6001-8000
402:软件工程师        北京汇金科技有限责任公司        9000-13000
403:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
404:软件工程师        北京远大创新科技有限公司        8000-12000
405:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
406:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
407:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
408:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
409:中国采招网        4001-6000
410:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
411:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
412:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
413:软件工程师        北京华开领航科技有限责任公司        15000-20000
414:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
415:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
416:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
417:软件工程师        北京华开领航科技有限责任公司        10000-15000
418:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
419:软件开发工程师        北京北变微电网技术有限公司        7000-9000
420:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
421:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
422:软件测试工程师        北京万里红科技股份有限公司        6000-12000
423:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
424:软件工程师        北京慧清科技有限公司        12000-20000
425:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
426:软件工程师        北京优尔博特创新科技有限公司        15001-20000
427:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
428:软件开发工程师        北京天元特通科技有限公司        10001-15000
429:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
430:软件销售        厦门安妮股份有限公司        8001-10000
431:软件工程师        北京慧清科技有限公司        12000-20000
432:软件工程师        北京华仪未来科技发展有限公司        10001-15000
433:软件开发项目经理        北京店帮科技有限公司        10001-15000
434:软件工程师        北京起鹏科技发展有限公司        10001-15000
435:软件工程师        北京兆维科技开发有限公司        10000-20000
436:软件测试工程师        北京万里红科技股份有限公司        5000-10000
437:软件工程师        北京泰和利通科技有限公司        10000-20000
438:软件工程师        北京医模科技股份有限公司        10001-15000
439:软件项目经理        北京双旗世纪科技有限公司        15001-20000
440:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
441:软件开发工程师        北京固鸿科技有限公司        10000-20000
442:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
443:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
444:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
445:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
446:软件开发工程师        北京万里红科技股份有限公司        6000-12000
